epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.15746,1.26083,3.94188,1.62596,0.86233,0.33333,0.57269,0.42443,1.04469,4.17877,1.95704,0.09208,8e-05,8e-05
2,2.27612,1.3604,4.11284,1.72813,0.92477,0.33333,0.58311,0.44066,1.04805,4.38648,1.93994,0.0831692,0.00016915,0.00016915
3,3.41667,1.43484,3.46369,1.72201,0.95488,0.33333,0.59763,0.45346,1.04352,4.04985,1.89458,0.0742574,0.0002574,0.0002574
4,5.23701,1.35925,3.66198,1.69525,0.95488,0.33333,0.59763,0.45346,1.04352,4.04985,1.89458,0.0653448,0.000344751,0.000344751
5,6.94026,1.34406,5.61537,1.57659,0.49077,1,0.91167,0.53317,1.01572,35.2978,1.36131,0.0564312,0.000431201,0.000431201
6,8.77716,1.30091,6.48085,1.48128,0.48967,1,0.79067,0.53146,0.95256,12.1188,1.3398,0.0475168,0.000516751,0.000516751
7,10.034,1.42186,6.71874,1.62366,0.48967,1,0.79067,0.53146,0.95256,12.1188,1.3398,0.0386014,0.000601402,0.000601402
8,11.3044,1.29256,6.72255,1.52084,0.48967,1,0.79067,0.53146,0.95256,12.1188,1.3398,0.0296852,0.000685152,0.000685152
9,12.6871,1.21378,6.40508,1.63231,0.43305,1,0.83937,0.56572,1.0034,8.77092,1.36854,0.020768,0.000768003,0.000768003
10,14.0997,1.29264,6.9201,1.71166,0.43305,1,0.83937,0.56572,1.0034,8.77092,1.36854,0.01185,0.000849954,0.000849954
11,15.517,1.16812,8.01002,1.53167,0.43305,1,0.83937,0.56572,1.0034,8.77092,1.36854,0.002931,0.000931005,0.000931005
12,19.9097,1.18201,8.32896,1.49424,0.43305,1,0.83937,0.56572,1.0034,8.77092,1.36854,0.000945005,0.000945005,0.000945005
13,22.4931,2.09822,5.66565,2.13401,0.00056,0.125,0.00057,0.00023,3.211,12.5434,3.51741,0.000940006,0.000940006,0.000940006
14,23.8133,2.42887,4.94945,2.33674,0.00056,0.125,0.00057,0.00023,3.211,12.5434,3.51741,0.000935007,0.000935007,0.000935007
15,25.1973,2.3819,6.0409,2.43565,0.00056,0.125,0.00057,0.00023,3.211,12.5434,3.51741,0.000930007,0.000930007,0.000930007
16,26.496,2.57083,6.66496,2.59717,0.00193,0.41667,0.00159,0.0004,3.13641,11.8154,3.30457,0.000925008,0.000925008,0.000925008
17,27.8063,2.479,4.76663,2.37662,0.00193,0.41667,0.00159,0.0004,3.13641,11.8154,3.30457,0.000920008,0.000920008,0.000920008
18,29.129,2.37209,5.0844,2.3876,0.00193,0.41667,0.00159,0.0004,3.13641,11.8154,3.30457,0.000915008,0.000915008,0.000915008
19,30.7379,2.59634,4.87971,2.55791,0.00193,0.41667,0.00159,0.0004,3.13641,11.8154,3.30457,0.000910009,0.000910009,0.000910009
20,32.2197,1.95542,5.28868,2.10203,0.02739,0.70833,0.02628,0.00663,1.65448,14.5782,2.52558,0.00090501,0.00090501,0.00090501
21,34.1137,1.52942,4.61201,1.93278,0.02739,0.70833,0.02628,0.00663,1.65448,14.5782,2.52558,0.00090001,0.00090001,0.00090001
22,35.8739,1.45848,5.3851,1.81476,0.02739,0.70833,0.02628,0.00663,1.65448,14.5782,2.52558,0.000895011,0.000895011,0.000895011
23,37.1317,1.50576,5.44428,1.88272,0.28726,0.375,0.35872,0.16653,1.6707,25,2.64793,0.000890011,0.000890011,0.000890011
24,38.5151,1.47754,2.9595,1.65373,0.28726,0.375,0.35872,0.16653,1.6707,25,2.64793,0.000885012,0.000885012,0.000885012
25,39.8626,1.37489,3.02757,1.6382,0.28726,0.375,0.35872,0.16653,1.6707,25,2.64793,0.000880012,0.000880012,0.000880012
26,41.1978,1.36988,2.85103,1.7047,0.28726,0.375,0.35872,0.16653,1.6707,25,2.64793,0.000875012,0.000875012,0.000875012
27,42.7228,1.61961,2.83035,1.85744,0.16792,0.5,0.41138,0.08419,1.95958,12.5928,2.78413,0.000870013,0.000870013,0.000870013
28,43.9817,1.54033,2.61601,1.7799,0.16792,0.5,0.41138,0.08419,1.95958,12.5928,2.78413,0.000865014,0.000865014,0.000865014
29,45.3136,1.55442,2.60506,1.78684,0.16792,0.5,0.41138,0.08419,1.95958,12.5928,2.78413,0.000860014,0.000860014,0.000860014
