epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.69607,1.36774,3.30752,1.57067,0.55041,0.6,0.48068,0.3103,0.96569,5.68317,1.77149,0.00023338,0.00023338,0.00023338
2,3.35303,1.42687,3.43027,1.62607,0.76174,0.33333,0.56344,0.41024,1.00238,4.86346,1.79941,0.000481013,0.000481013,0.000481013
3,5.20569,1.30751,5.07628,1.52391,0.33036,0.63333,0.49538,0.2864,1.01435,57.6833,1.52863,0.000726146,0.000726146,0.000726146
4,7.86532,1.28072,7.766,1.5375,0.34286,0.53333,0.52268,0.34165,1.07944,39.2193,1.56308,0.000968779,0.000968779,0.000968779
5,10.3782,1.42879,7.31248,1.68616,0.34286,0.53333,0.52268,0.34165,1.07944,39.2193,1.56308,0.00120891,0.00120891,0.00120891
6,12.1825,1.65382,6.11334,1.81307,0.00487,0.16667,0.00742,0.00156,3.02261,45.2231,3.72843,0.00144654,0.00144654,0.00144654
7,14.2525,2.29511,7.06068,2.28656,0.00487,0.16667,0.00742,0.00156,3.02261,45.2231,3.72843,0.001617,0.001617,0.001617
8,16.1145,1.93994,4.9515,2.01917,0.03333,0.53333,0.03225,0.0066,2.97776,558.787,5.25467,0.00160866,0.00160866,0.00160866
9,17.8805,2.00156,4.97283,2.15231,0.03333,0.53333,0.03225,0.0066,2.97776,558.787,5.25467,0.00160033,0.00160033,0.00160033
10,19.873,1.95755,4.51217,2.06217,0.01259,1,0.04767,0.01975,2.03258,57.1181,2.63772,0.00159199,0.00159199,0.00159199
11,22.4888,2.02862,4.72899,2.21177,0.01259,1,0.04767,0.01975,2.03258,57.1181,2.63772,0.00158366,0.00158366,0.00158366
12,25.2443,1.99471,4.49978,2.12135,0.17948,0.53333,0.26969,0.0768,2.56118,36.8163,5.49407,0.00157532,0.00157532,0.00157532
13,27.1014,1.86381,3.88522,2.11195,0.17948,0.53333,0.26969,0.0768,2.56118,36.8163,5.49407,0.00156699,0.00156699,0.00156699
14,28.9542,1.94815,3.88352,2.32897,0.34479,0.73333,0.61231,0.25683,2.08042,6.63095,2.93929,0.00155866,0.00155866,0.00155866
15,30.8539,1.88629,4.00585,2.20459,0.34479,0.73333,0.61231,0.25683,2.08042,6.63095,2.93929,0.00155032,0.00155032,0.00155032
16,32.7005,2.04158,3.89572,2.37684,0,0,0,0,5.23756,5.95442,6.3434,0.00154199,0.00154199,0.00154199
17,34.884,2.07626,3.39861,2.2599,0,0,0,0,5.23756,5.95442,6.3434,0.00153365,0.00153365,0.00153365
18,37.6701,1.96753,3.69132,2.12396,0,0,0,0,5.23756,5.95442,6.3434,0.00152532,0.00152532,0.00152532
19,39.5218,2.21395,3.36021,2.36331,0.00076,0.1,0.00057,0.00029,4.46155,8.68813,5.47552,0.00151699,0.00151699,0.00151699
20,41.3685,1.99479,3.38461,2.1467,0.00076,0.1,0.00057,0.00029,4.46155,8.68813,5.47552,0.00150865,0.00150865,0.00150865
21,43.2061,2.16047,3.20918,2.28019,0.00032,0.16667,0.00059,6e-05,5.79018,5.73007,6.59836,0.00150032,0.00150032,0.00150032
22,45.0354,2.01692,2.96234,2.04577,0.00032,0.16667,0.00059,6e-05,5.79018,5.73007,6.59836,0.00149198,0.00149198,0.00149198
