epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,94.9529,0.93943,1.13506,1.27537,0.87749,0.9672,0.995,0.73527,0.92485,1.04218,1.40233,0.000795021,0.000795021,0.000795021
43,96.82,0.88732,1.09227,1.20996,0.87749,0.9672,0.995,0.73527,0.92485,1.04218,1.40233,0.000790021,0.000790021,0.000790021
44,98.6695,0.9186,1.03255,1.21756,0.81074,0.96906,0.995,0.73834,0.99207,0.88303,1.45854,0.000785022,0.000785022,0.000785022
45,101.06,0.94413,1.15035,1.27946,0.81074,0.96906,0.995,0.73834,0.99207,0.88303,1.45854,0.000780022,0.000780022,0.000780022
46,103.607,0.97033,1.04954,1.24952,0.93055,1,0.995,0.75665,1.00155,0.69526,1.54738,0.000775023,0.000775023,0.000775023
47,105.632,0.82434,1.09946,1.21288,0.93055,1,0.995,0.75665,1.00155,0.69526,1.54738,0.000770023,0.000770023,0.000770023
48,107.519,1.0101,1.24838,1.3397,0.89233,1,0.995,0.78589,1.00072,0.89925,1.51279,0.000765023,0.000765023,0.000765023
49,109.638,0.95665,1.14578,1.24686,0.89233,1,0.995,0.78589,1.00072,0.89925,1.51279,0.000760024,0.000760024,0.000760024
50,111.687,0.94016,1.09098,1.2578,0.89233,1,0.995,0.78589,1.00072,0.89925,1.51279,0.000755025,0.000755025,0.000755025
51,113.806,1.0069,1.1504,1.31701,0.79373,0.83333,0.95375,0.76152,0.91317,1.14552,1.40843,0.000750025,0.000750025,0.000750025
52,116.414,0.9836,1.1474,1.25941,0.79373,0.83333,0.95375,0.76152,0.91317,1.14552,1.40843,0.000745026,0.000745026,0.000745026
53,118.594,0.86296,1.0076,1.15713,0.77321,0.95942,0.995,0.79453,0.92081,1.12157,1.40718,0.000740026,0.000740026,0.000740026
54,120.772,0.84539,1.09419,1.14788,0.77321,0.95942,0.995,0.79453,0.92081,1.12157,1.40718,0.000735027,0.000735027,0.000735027
55,123.29,0.79037,0.98174,1.1886,0.81817,0.96021,0.995,0.79882,0.77963,0.87223,1.26094,0.000730027,0.000730027,0.000730027
56,125.296,0.88999,0.99379,1.24312,0.81817,0.96021,0.995,0.79882,0.77963,0.87223,1.26094,0.000725028,0.000725028,0.000725028
57,129.586,0.85232,0.93337,1.22799,0.93875,1,0.995,0.78419,0.80058,0.69614,1.25668,0.000720028,0.000720028,0.000720028
58,131.985,0.86451,0.98249,1.2245,0.93875,1,0.995,0.78419,0.80058,0.69614,1.25668,0.000715029,0.000715029,0.000715029
59,133.851,0.89402,0.96138,1.26447,0.97892,0.9,0.97833,0.76855,0.95372,0.6695,1.36565,0.000710029,0.000710029,0.000710029
60,135.714,0.81649,0.91819,1.1783,0.97892,0.9,0.97833,0.76855,0.95372,0.6695,1.36565,0.00070503,0.00070503,0.00070503
61,137.573,0.77286,0.85092,1.13573,0.94991,0.9,0.97833,0.74893,0.99517,0.76698,1.44238,0.00070003,0.00070003,0.00070003
62,140.658,0.88048,0.86522,1.19262,0.94991,0.9,0.97833,0.74893,0.99517,0.76698,1.44238,0.000695031,0.000695031,0.000695031
63,143.136,0.95762,0.97484,1.36442,0.92395,0.9,0.97833,0.71822,1.05578,0.84323,1.4951,0.000690031,0.000690031,0.000690031
64,145.802,0.85277,0.93585,1.21374,0.92395,0.9,0.97833,0.71822,1.05578,0.84323,1.4951,0.000685032,0.000685032,0.000685032
65,147.84,0.89996,0.89226,1.18603,0.88714,0.9,0.97833,0.7124,1.05391,0.98712,1.49427,0.000680032,0.000680032,0.000680032
66,149.605,0.76373,0.84878,1.12559,0.88714,0.9,0.97833,0.7124,1.05391,0.98712,1.49427,0.000675033,0.000675033,0.000675033
67,151.497,0.78994,0.98391,1.20489,0.88714,0.9,0.97833,0.7124,1.05391,0.98712,1.49427,0.000670033,0.000670033,0.000670033
68,153.345,0.76733,0.91986,1.13837,0.93025,0.9,0.97833,0.70702,1.09553,0.8838,1.57363,0.000665034,0.000665034,0.000665034
69,155.158,0.82989,1.04915,1.1832,0.93025,0.9,0.97833,0.70702,1.09553,0.8838,1.57363,0.000660034,0.000660034,0.000660034
70,158.148,0.86469,0.93434,1.21232,0.95532,0.9,0.97833,0.73917,1.11825,0.90086,1.64982,0.000655035,0.000655035,0.000655035
71,160.311,0.84343,0.90588,1.16972,0.95532,0.9,0.97833,0.73917,1.11825,0.90086,1.64982,0.000650035,0.000650035,0.000650035
72,162.223,0.90012,0.96888,1.19543,0.89577,0.95023,0.97833,0.73139,1.20703,0.85308,1.83146,0.000645036,0.000645036,0.000645036
73,164.023,0.82032,0.84537,1.21351,0.89577,0.95023,0.97833,0.73139,1.20703,0.85308,1.83146,0.000640036,0.000640036,0.000640036
74,165.94,0.85438,0.97025,1.19297,0.95244,0.96005,0.995,0.73295,1.16637,0.74914,1.82199,0.000635037,0.000635037,0.000635037
75,167.772,0.75689,0.72789,1.11169,0.95244,0.96005,0.995,0.73295,1.16637,0.74914,1.82199,0.000630037,0.000630037,0.000630037
