epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.38453,1.39614,3.26017,1.55731,0.55041,0.6,0.48068,0.3103,0.96569,5.68317,1.77149,0.08614,0.00014,0.00014
2,4.02921,1.43388,3.42266,1.6192,0.76174,0.33333,0.56344,0.41024,1.00238,4.86346,1.79941,0.0712886,0.00028855,0.00028855
3,6.31435,1.2377,3.51589,1.46313,0.44386,1,0.76018,0.50499,0.97654,23.3207,1.41155,0.0564356,0.0004356,0.0004356
4,9.26791,1.28909,3.815,1.53122,0.00048,0.33333,0.0005,8e-05,1.95348,15.3485,2.53851,0.0415812,0.000581151,0.000581151
5,11.0541,1.44128,3.02884,1.64959,0.00048,0.33333,0.0005,8e-05,1.95348,15.3485,2.53851,0.0267252,0.000725201,0.000725201
6,13.1387,1.38148,2.85878,1.69773,0.25414,0.63333,0.28048,0.15547,1.21933,8.65552,1.90884,0.0118678,0.000867752,0.000867752
7,15.0756,1.39795,3.54014,1.74133,0.25414,0.63333,0.28048,0.15547,1.21933,8.65552,1.90884,0.000970003,0.000970003,0.000970003
8,17.0291,1.34381,2.55554,1.62555,0.83054,0.5,0.69898,0.32187,1.17478,3.26811,1.64172,0.000965004,0.000965004,0.000965004
9,18.87,1.27703,2.27462,1.51503,0.83054,0.5,0.69898,0.32187,1.17478,3.26811,1.64172,0.000960004,0.000960004,0.000960004
10,22.3252,1.27129,2.92128,1.49795,0.43509,0.56667,0.56717,0.21985,1.98328,6.06126,2.87229,0.000955004,0.000955004,0.000955004
11,24.3651,1.38253,3.12607,1.55591,0.43509,0.56667,0.56717,0.21985,1.98328,6.06126,2.87229,0.000950005,0.000950005,0.000950005
12,26.1739,1.30191,2.78677,1.45578,0.04311,0.56667,0.05066,0.02131,1.5908,29.5243,2.49858,0.000945005,0.000945005,0.000945005
