epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,78.7083,0.71159,0.80262,1.15712,0.83815,0.76923,0.80539,0.61104,0.8188,1.15874,1.24662,0.0011684,0.0011684,0.0011684
23,80.389,0.68816,0.78888,1.10944,0.93138,0.78846,0.83115,0.61842,0.80758,1.08275,1.23378,0.0011288,0.0011288,0.0011288
24,82.118,0.78802,0.92657,1.12747,0.88786,0.7614,0.81133,0.59352,0.83623,1.16999,1.2739,0.0010892,0.0010892,0.0010892
25,83.8166,0.60499,0.72975,1.0382,0.89805,0.67308,0.77965,0.56586,0.87422,1.39134,1.30689,0.0010496,0.0010496,0.0010496
26,85.6071,0.81973,0.77708,1.24447,0.8305,0.71154,0.74682,0.5622,0.84075,1.66226,1.29199,0.00101,0.00101,0.00101
27,87.4326,0.70985,0.71782,1.04174,0.82358,0.71829,0.72735,0.54992,0.81717,1.65413,1.29124,0.0009704,0.0009704,0.0009704
28,90.1615,0.65972,0.65664,1.13577,0.91428,0.82054,0.80924,0.63565,0.74021,1.09165,1.21517,0.0009308,0.0009308,0.0009308
29,92.5373,0.63569,0.72928,1.0917,0.90269,0.80769,0.8183,0.64146,0.73614,0.96726,1.17539,0.0008912,0.0008912,0.0008912
30,94.2812,0.79969,0.86811,1.20527,0.95,0.82692,0.82107,0.62462,0.73517,0.91753,1.18216,0.0008516,0.0008516,0.0008516
31,96.0261,0.55063,0.70312,0.98054,0.92417,0.78846,0.81873,0.65209,0.71454,0.88949,1.16702,0.000812,0.000812,0.000812
32,98.1351,0.64192,0.62822,1.02106,0.97217,0.80769,0.85089,0.69223,0.66373,0.77162,1.12543,0.0007724,0.0007724,0.0007724
33,99.9116,0.59883,0.65103,1.04584,0.97551,0.76612,0.83735,0.6878,0.68613,0.86366,1.14607,0.0007328,0.0007328,0.0007328
34,101.625,0.6378,0.71508,1.09446,0.95995,0.76923,0.81718,0.65332,0.71259,0.87986,1.17046,0.0006932,0.0006932,0.0006932
35,104.332,0.60788,0.60966,1.0389,0.94166,0.75,0.80033,0.62931,0.7268,0.89063,1.17524,0.0006536,0.0006536,0.0006536
36,106.528,0.5571,0.8355,1.01127,0.94616,0.78846,0.8406,0.67108,0.69969,0.79744,1.14872,0.000614,0.000614,0.000614
