epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,33.9344,0.82993,0.97031,1.23639,0.91615,0.63041,0.73765,0.50785,0.91589,1.76419,1.31786,0.00111074,0.00111074,0.00111074
17,35.5977,0.79694,1.38846,1.24122,0.90569,0.67308,0.766,0.55174,0.88892,1.45402,1.29701,0.00114778,0.00114778,0.00114778
18,37.31,0.66241,0.78184,1.06391,0.82756,0.64614,0.73854,0.51546,0.89313,1.42559,1.28945,0.00118085,0.00118085,0.00118085
19,38.9628,0.69884,0.89575,1.12537,0.80498,0.55569,0.65152,0.46289,0.93853,1.46256,1.34527,0.00120997,0.00120997,0.00120997
20,40.6487,0.74034,0.83784,1.15075,0.7929,0.63462,0.68372,0.49263,0.83381,1.50724,1.24559,0.00123512,0.00123512,0.00123512
21,42.9905,0.66861,1.08225,1.10878,0.79374,0.66613,0.73633,0.54079,0.79489,1.34404,1.21344,0.001208,0.001208,0.001208
22,45.448,0.71159,0.80262,1.15712,0.83815,0.76923,0.80539,0.61104,0.8188,1.15874,1.24662,0.0011684,0.0011684,0.0011684
23,47.2659,0.68816,0.78888,1.10944,0.93138,0.78846,0.83115,0.61842,0.80758,1.08275,1.23378,0.0011288,0.0011288,0.0011288
24,48.9796,0.78802,0.92657,1.12747,0.88786,0.7614,0.81133,0.59352,0.83623,1.16999,1.2739,0.0010892,0.0010892,0.0010892
25,50.5541,0.60499,0.72975,1.0382,0.89805,0.67308,0.77965,0.56586,0.87422,1.39134,1.30689,0.0010496,0.0010496,0.0010496
26,52.2288,0.81973,0.77708,1.24447,0.8305,0.71154,0.74682,0.5622,0.84075,1.66226,1.29199,0.00101,0.00101,0.00101
27,53.9178,0.70985,0.71782,1.04174,0.82358,0.71829,0.72735,0.54992,0.81717,1.65413,1.29124,0.0009704,0.0009704,0.0009704
28,55.6395,0.65972,0.65664,1.13577,0.91428,0.82054,0.80924,0.63565,0.74021,1.09165,1.21517,0.0009308,0.0009308,0.0009308
29,59.5195,0.63569,0.72928,1.0917,0.90269,0.80769,0.8183,0.64146,0.73614,0.96726,1.17539,0.0008912,0.0008912,0.0008912
